Approach,Accuracy,DPD,AOD,EOD,DIR
Baseline,0.6701,-0.1934,-0.1173,-0.1423,0.6481
Reweighing,0.6512,-0.0541,-0.0384,-0.0461,0.8414
Dispar. Impact Rem.,0.6435,-0.0218,-0.0275,-0.0317,0.9334
Prejudice Remover,0.6388,-0.0437,-0.0328,-0.0432,0.8694
Equalised Odds PP,0.6341,-0.0876,-0.0108,0.0021,0.7394
